State,Population,Median Household Income ($)
maryland,5996079,78916
district of columbia,672391,77649
new jersey,8960161,76475
alaska,738565,76114
hawaii,1421658,74923
massachusetts,6789319,74167
connecticut,3594478,73781
new hampshire,1331848,71305
virginia,8365952,68766
california,38982847,67169
washington,7169967,66174
minnesota,5490726,65699
colorado,5436519,65458
utah,2993941,65325
delaware,943732,63036
new york,19798228,62765
north dakota,745475,61285
illinois,12854526,61229
rhode island,1056138,61043
wyoming,583200,60938
vermont,624636,57808
texas,27419612,57051
pennsylvania,12790505,56951
wisconsin,5763217,56759
nebraska,1893921,56675
iowa,3118102,56570
oregon,4025127,56119
kansas,2903820,55477
nevada,2887725,55434
south dakota,855444,54126
arizona,6809946,53510
maine,1330158,53024
georgia,10201635,52977
michigan,9925568,52668
ohio,11609756,52407
indiana,6614418,52182
missouri,6075300,51542
idaho,1657375,50985
florida,20278447,50883
montana,1029862,50801
north carolina,10052564,50320
oklahoma,3896251,49767
south carolina,4893444,48781
tennessee,6597381,48708
new mexico,2084828,46718
louisiana,4663461,46710
kentucky,4424376,46535
alabama,4850771,46472
west virginia,1836843,44061
arkansas,2977944,43813
mississippi,2986220,42009
